store_id,store_name,city,state,region,store_type
52,"Saran, Buch and Sethi Store",Bettiah,Madhya Pradesh,West,Mall
53,Mammen-Chada Outlet,Shimla,Tamil Nadu,South,Mall
54,Andra-Sibal Outlet,Kavali,Uttar Pradesh,Central,Online
55,Bose Group Shop,Kirari Suleman Nagar,Goa,West,Online
56,"Reddy, Chhabra and Dixit Outlet",Sultan Pur Majra,Pondicherry,South,Outlet
57,"Bawa, Bhardwaj and Amble Outlet",Gorakhpur,Uttar Pradesh,Central,Pop‑up
58,Dhawan LLC Outlet,Thoothukudi,West Bengal,East,Online
59,Vaidya-Bhardwaj Shop,Patiala,Chhattisgarh,Central,Pop‑up
60,Bhatia Inc Store,Bhavnagar,Pondicherry,South,Mall
61,"Sridhar, Cheema and Tak Shop",Hyderabad,Uttar Pradesh,Central,Online
62,Dua-Balay Outlet,Jodhpur,Madhya Pradesh,West,Mall
63,"Cheema, Bhattacharyya and Thaman Store",Serampore,Madhya Pradesh,Central,Pop‑up
64,"Sarkar, Cheema and Dhingra Store",Bhubaneswar,Pondicherry,South,Outlet
65,Talwar-Rege Shop,Phusro,Pondicherry,South,Pop‑up
66,"Ganesan, Gill and Saini Shop",Bhatpara,Odisha,East,Pop‑up
67,"Dey, Sheth and Badami Shop",Orai,Maharashtra,West,Flagship
68,"Babu, Gala and Swaminathan Market",Vijayawada,Chhattisgarh,Central,Mall
69,Chanda LLC Shop,Ongole,Telangana,South,Outlet
70,Khanna-Chada Market,Kolkata,Jammu & Kashmir,North,Flagship
71,Dutt-Thaker Outlet,Guntur,Goa,West,Outlet
72,"Thakur, Ramanathan and Kannan Shop",Guntakal,West Bengal,East,Online
73,"Dube, Lala and Krishna Shop",Cuttack,West Bengal,East,Flagship
74,Kara-Kannan Outlet,Thrissur,Punjab,North,Pop‑up
75,"Chandra, Bhagat and Malhotra Market",Panchkula,Madhya Pradesh,Central,Outlet
76,Zachariah Inc Outlet,Amroha,Bihar,East,Pop‑up
77,Chauhan LLC Shop,New Delhi,Chhattisgarh,Central,Flagship
78,"Ramaswamy, Issac and Chatterjee Outlet",Thrissur,Karnataka,South,Mall
79,"Chand, Kumar and Uppal Market",Rewa,Telangana,South,Mall
80,Sachdeva and Sons Market,Nandyal,Haryana,North,Outlet
81,Bora-Datta Store,Shivpuri,West Bengal,East,Outlet
82,Jhaveri Group Shop,Morbi,Gujarat,West,Mall
83,Hari-Ravi Store,Silchar,Pondicherry,South,Mall
84,"Kara, Lanka and Madan Market",Rohtak,Madhya Pradesh,West,Flagship
85,Sankaran Inc Shop,Begusarai,Maharashtra,West,Pop‑up
86,Tandon Inc Store,Tiruppur,Kerala,South,Online
87,Tata-Som Market,Karnal,Jharkhand,East,Online
88,Bhatnagar and Sons Store,Bathinda,Kerala,South,Outlet
89,"Thakur, Vaidya and Kumer Market",Thrissur,Bihar,East,Pop‑up
90,"Tandon, Thakkar and Cheema Shop",Latur,Punjab,North,Online
91,"Chaudhuri, Bala and Upadhyay Outlet",Rajpur Sonarpur,Sikkim,East,Outlet
92,"Gopal, Maharaj and Kibe Outlet",Ratlam,Tamil Nadu,South,Outlet
93,Taneja LLC Market,Kharagpur,Himachal Pradesh,North,Online
94,Sachar-Hayer Outlet,Haldia,Andhra Pradesh,South,Flagship
95,"Shah, Balasubramanian and Master Shop",Jamshedpur,Kerala,South,Mall
96,Shroff LLC Outlet,Bokaro,Jharkhand,East,Pop‑up
97,Venkataraman and Sons Shop,Kalyan-Dombivli,Jammu & Kashmir,North,Outlet
98,"Manda, Rastogi and Kapur Outlet",Chennai,Tamil Nadu,South,Outlet
99,Bhatt PLC Store,Purnia,Bihar,East,Flagship
100,Bhatt-Kashyap Store,Agra,Madhya Pradesh,Central,Pop‑up
101,Kurian and Sons Market,Gangtok,Madhya Pradesh,Central,Online
102,Chakrabarti-Sachdeva Outlet,Bharatpur,Madhya Pradesh,Central,Pop‑up
103,Banik-Goswami Store,Ambarnath,Maharashtra,West,Mall
104,Virk-Sunder Market,Latur,Kerala,South,Flagship
105,Comar-Divan Outlet,Kolkata,Andhra Pradesh,South,Flagship
106,Karpe Inc Market,Hyderabad,Haryana,North,Flagship
107,Hora-Banerjee Shop,Pudukkottai,Odisha,East,Mall
108,Manne Inc Shop,Guntur,Goa,West,Flagship
109,Singh-Yohannan Shop,Khandwa,Jharkhand,East,Online
110,Kaur-Badal Store,Kollam,Uttar Pradesh,Central,Online
111,Rajan Group Outlet,Avadi,Uttar Pradesh,Central,Outlet
112,Uppal Inc Outlet,Yamunanagar,Tamil Nadu,South,Flagship
113,"Apte, Bala and Talwar Store",Pallavaram,Gujarat,West,Flagship
114,Zacharia-Rege Market,Tadipatri,Sikkim,East,Pop‑up
115,"Bhargava, Sankar and Gala Shop",Gorakhpur,Chhattisgarh,Central,Mall
116,"Dhar, Bhardwaj and Mahajan Store",Bidhannagar,Madhya Pradesh,Central,Online
117,Hayer PLC Outlet,Faridabad,Madhya Pradesh,West,Flagship
118,Grover-Vohra Market,Purnia,Uttar Pradesh,Central,Mall
119,"Andra, Keer and Sekhon Outlet",Mahbubnagar,Madhya Pradesh,Central,Flagship
120,Bahri-Chahal Outlet,Dewas,Jammu & Kashmir,North,Online
121,"Zacharia, Reddy and Talwar Shop",Singrauli,Kerala,South,Outlet
122,Khurana Ltd Outlet,Ghaziabad,Telangana,South,Mall
123,"Wable, Venkataraman and Basak Outlet",Sagar,Delhi,North,Mall
124,Thakur Ltd Store,Udaipur,Maharashtra,West,Outlet
125,"Hayre, Bal and Mand Store",Bareilly,Uttar Pradesh,Central,Flagship
126,"Yohannan, Malhotra and Kulkarni Market",Rajkot,Madhya Pradesh,Central,Outlet
127,Rajan LLC Market,Srinagar,Maharashtra,West,Mall
128,"Deol, Kala and Andra Shop",Vasai-Virar,Pondicherry,South,Online
129,Chacko Inc Market,Ratlam,Himachal Pradesh,North,Outlet
130,Basak-Bhat Shop,Rourkela,Bihar,East,Pop‑up
131,Comar-Mannan Outlet,Raiganj,Madhya Pradesh,West,Pop‑up
132,Tailor Ltd Shop,Rohtak,Uttar Pradesh,Central,Flagship
133,Banik-Atwal Outlet,Vijayanagaram,Bihar,East,Mall
134,Mand and Sons Market,Chittoor,Punjab,North,Pop‑up
135,"Zacharia, Chana and Taneja Market",Pali,Maharashtra,West,Outlet
136,Date-Ghosh Store,Mira-Bhayandar,Goa,West,Online
137,Sachdev Ltd Market,Shimla,Madhya Pradesh,Central,Mall
138,"Ranganathan, Venkataraman and Dube Store",Gandhinagar,Jammu & Kashmir,North,Online
139,Wagle-Ahuja Outlet,Malegaon,Uttar Pradesh,Central,Mall
140,"Sahni, Yogi and Issac Shop",Cuttack,Uttar Pradesh,Central,Mall
141,Basu-Dave Store,Miryalaguda,Sikkim,East,Online
142,"Lalla, Subramaniam and Chaudhari Store",Saharanpur,Tamil Nadu,South,Outlet
143,"Ravel, Bera and Krishnamurthy Store",Raurkela Industrial Township,West Bengal,East,Flagship
144,Samra-Srinivas Market,Kishanganj,Uttar Pradesh,North,Outlet
145,"Chawla, Handa and Kashyap Market",Tirunelveli,Maharashtra,West,Flagship
146,Ghose LLC Market,Warangal,Chhattisgarh,Central,Flagship
147,"Mahal, Handa and Kapadia Store",Bhiwani,Gujarat,West,Flagship
148,"Kunda, Bhat and Dhar Market",Karawal Nagar,Sikkim,East,Mall
149,Vasa Inc Shop,Haldia,Pondicherry,South,Outlet
150,Chandran Group Store,Latur,Pondicherry,South,Online
151,"Atwal, Varma and Devan Store",Tiruvottiyur,Madhya Pradesh,Central,Mall
152,"Basak, Vora and Sachdev Shop",Medininagar,Uttar Pradesh,Central,Mall
153,"Seth, Bali and Kunda Outlet",Naihati,Madhya Pradesh,Central,Flagship
154,Shukla LLC Outlet,Gangtok,Chhattisgarh,Central,Online
155,Kala-Vyas Store,Thanjavur,Maharashtra,West,Online
156,"Manne, Chopra and Shroff Shop",Ghaziabad,Jharkhand,East,Flagship
157,Luthra LLC Shop,Loni,Uttar Pradesh,Central,Mall
158,Dutta LLC Store,Fatehpur,Madhya Pradesh,Central,Pop‑up
159,Sandhu PLC Store,Noida,Chhattisgarh,Central,Pop‑up
160,Chaudry and Sons Store,Nellore,Madhya Pradesh,Central,Flagship
161,Bhagat Inc Market,Alwar,Delhi,North,Pop‑up
162,"Shenoy, Hora and Singh Market",Khandwa,Lakshadweep,South,Flagship
163,Wali Inc Outlet,Fatehpur,Madhya Pradesh,West,Outlet
164,"Swamy, Sandhu and Batta Shop",Machilipatnam,Jharkhand,East,Mall
165,"Johal, Tara and Talwar Outlet",Patiala,Tamil Nadu,South,Flagship
166,Sem-Gola Store,Gorakhpur,Kerala,South,Online
167,Kothari PLC Outlet,Indore,Maharashtra,West,Mall
168,Garg-Arya Store,Guwahati,Odisha,East,Pop‑up
169,Sunder-Srinivas Shop,Jamnagar,Telangana,South,Flagship
170,"Kannan, Manne and Barad Shop",Moradabad,Tamil Nadu,South,Pop‑up
171,"Jain, Dada and Walia Store",Rohtak,Punjab,North,Mall
172,Saxena-Cherian Outlet,Haridwar,Bihar,East,Pop‑up
173,Sathe-Master Shop,Ambattur,Karnataka,South,Online
174,"Iyer, Tripathi and Raju Outlet",Howrah,Lakshadweep,South,Outlet
175,Lanka Inc Store,Saharsa,West Bengal,East,Mall
176,"Dass, Hayer and Manda Shop",Jhansi,Punjab,North,Online
177,Majumdar-Gupta Outlet,Saharsa,Uttarakhand,North,Flagship
178,"Kala, Virk and Karnik Store",Navi Mumbai,Madhya Pradesh,Central,Flagship
179,"Jaggi, Chhabra and Mahajan Outlet",Kirari Suleman Nagar,Uttarakhand,North,Outlet
180,Loyal Inc Outlet,Danapur,Chhattisgarh,Central,Mall
181,Joshi-Jhaveri Shop,Morbi,Lakshadweep,South,Outlet
182,Jain-Madan Store,Kollam,Goa,West,Outlet
183,Dey PLC Outlet,Bathinda,West Bengal,East,Online
184,"Devi, Chandran and Virk Outlet",Haldia,Telangana,South,Flagship
185,Soman-Chaudhary Store,Naihati,Lakshadweep,South,Flagship
186,Yohannan-Samra Market,Guntur,West Bengal,East,Outlet
187,Brahmbhatt Ltd Outlet,Bhusawal,Karnataka,South,Online
188,Kuruvilla Group Outlet,Ramgarh,Madhya Pradesh,West,Outlet
189,Kohli-Seth Outlet,Khora ,Jammu & Kashmir,North,Mall
190,Bera-Dugar Shop,Bettiah,Karnataka,South,Online
191,Mannan-Raman Market,Deoghar,Sikkim,East,Flagship
192,Venkatesh-Khosla Outlet,Hospet,Punjab,North,Outlet
193,"Date, Sood and Goda Market",Phagwara,Himachal Pradesh,North,Mall
194,"Bajaj, Jha and Barman Store",Etawah,Pondicherry,South,Outlet
195,Ray-Goel Store,Gangtok,Madhya Pradesh,West,Online
196,Kaul Group Market,Hindupur,Himachal Pradesh,North,Outlet
197,Krishna Group Market,Sikar,Jharkhand,East,Online
198,"Kala, Bhardwaj and Gill Outlet",Patna,Madhya Pradesh,Central,Pop‑up
199,Kar-Khare Store,Unnao,Goa,West,Outlet
200,"Mallick, Kanda and Bajaj Shop",Kumbakonam,Jharkhand,East,Pop‑up
201,"Krishna, Anand and Solanki Outlet",Jalandhar,Uttar Pradesh,Central,Pop‑up
202,"Krishnamurthy, Shere and Dass Shop",Bhiwandi,Odisha,East,Pop‑up
203,Walia-Ramesh Store,Burhanpur,Odisha,East,Online
204,Dixit-Garg Store,Hindupur,Maharashtra,West,Online
205,Halder PLC Shop,Ratlam,Gujarat,West,Online
206,Jha PLC Outlet,Morena,West Bengal,East,Online
207,"Saraf, Char and Rattan Outlet",Amravati,Madhya Pradesh,Central,Outlet
208,"Krishnamurthy, Dhillon and Bahri Shop",Aizawl,Bihar,East,Flagship
209,"Kar, Kakar and Buch Shop",Proddatur,Uttar Pradesh,Central,Online
210,"Chaudhry, Konda and Sarna Store",Vasai-Virar,Pondicherry,South,Pop‑up
211,Bhattacharyya LLC Market,Rajpur Sonarpur,Madhya Pradesh,Central,Online
212,"Deep, Din and Kalla Store",Jhansi,Punjab,North,Outlet
213,Tandon Inc Market,Gwalior,Sikkim,East,Outlet
214,Shah and Sons Outlet,Visakhapatnam,Bihar,East,Pop‑up
215,Yohannan-Mane Market,Firozabad,Sikkim,East,Outlet
216,"Barman, Bala and Thaker Shop",Sasaram,Maharashtra,West,Mall
217,Karan Group Outlet,Tiruvottiyur,Chhattisgarh,Central,Outlet
218,Shah-Kalita Shop,Proddatur,Uttar Pradesh,Central,Pop‑up
219,Gara-Vala Store,Dehri,Punjab,North,Outlet
220,Sathe-Keer Shop,Hazaribagh,Gujarat,West,Outlet
221,Thaker-Suri Market,Visakhapatnam,Bihar,East,Flagship
222,Sagar Inc Shop,Sambhal,Madhya Pradesh,Central,Flagship
223,Gulati PLC Outlet,Rohtak,Chhattisgarh,Central,Flagship
224,"Savant, Dora and Balan Outlet",Agra,Madhya Pradesh,West,Outlet
225,"Chana, Kala and Biswas Store",Muzaffarnagar,West Bengal,East,Online
226,"Dara, Dua and Sheth Store",Udupi,Chhattisgarh,Central,Mall
227,Dutta-Suri Shop,Saharanpur,Haryana,North,Flagship
228,Vaidya Inc Store,Siwan,West Bengal,East,Online
229,"Solanki, Iyer and Jaggi Outlet",Rajkot,Maharashtra,West,Online
230,Dave and Sons Outlet,Tadipatri,West Bengal,East,Mall
231,"Kumer, Bhalla and Dayal Store",Madanapalle,Pondicherry,South,Flagship
232,Korpal PLC Market,Saharsa,Kerala,South,Online
233,Dugar-Dugar Outlet,Faridabad,Uttarakhand,North,Outlet
234,"Manne, Virk and Sastry Market",Bhalswa Jahangir Pur,Pondicherry,South,Mall
235,Barman-Sampath Outlet,Serampore,Sikkim,East,Online
236,Golla-Banik Store,Asansol,Uttarakhand,North,Pop‑up
237,Bahl-Rama Store,Nellore,Sikkim,East,Online
238,"Dash, Bala and Tripathi Market",Phagwara,Sikkim,East,Pop‑up
239,Khurana-Mand Market,Ambarnath,Chhattisgarh,Central,Flagship
240,"Sen, Kala and Kuruvilla Market",Hosur,Madhya Pradesh,West,Pop‑up
241,Bansal LLC Store,Parbhani,Goa,West,Pop‑up
242,"Korpal, Sahni and Deep Outlet",Kanpur,Chhattisgarh,Central,Pop‑up
243,"Subramanian, Dua and Dua Shop",Bihar Sharif,Andhra Pradesh,South,Pop‑up
244,Mand-Ahluwalia Store,Rajkot,West Bengal,East,Online
245,"Kota, Luthra and Dugar Market",Aizawl,Punjab,North,Pop‑up
246,Kalla-Bhandari Store,Akola,Odisha,East,Outlet
247,"Maharaj, Ganguly and Gopal Shop",Kota,Chhattisgarh,Central,Flagship
248,Barad Ltd Store,Karimnagar,Lakshadweep,South,Outlet
249,Khatri-Bir Store,Burhanpur,Kerala,South,Online
250,Kothari-Kamdar Shop,Agartala,Delhi,North,Flagship
251,"Lal, Dhawan and Saxena Shop",Kozhikode,Chhattisgarh,Central,Online
252,Chaudhry-Golla Outlet,Warangal,Uttar Pradesh,Central,Outlet
253,"Sood, Dayal and Choudhury Shop",Kurnool,Tamil Nadu,South,Pop‑up
254,Mahajan PLC Store,Satna,Chhattisgarh,Central,Outlet
255,"Sangha, Gandhi and Mahal Store",Giridih,Maharashtra,West,Mall
256,"Bail, Sastry and Barman Outlet",Aurangabad,Lakshadweep,South,Flagship
257,"Kota, Lata and Bahl Market",Jaunpur,Bihar,East,Online
258,Lal LLC Market,Dehradun,Bihar,East,Outlet
259,Kothari Ltd Store,Cuttack,Delhi,North,Flagship
260,Bhatia Group Store,Shivpuri,West Bengal,East,Mall
261,"Sood, Garde and Thakur Shop",Patna,Chhattisgarh,Central,Flagship
262,Sule-Sodhi Shop,Saharanpur,Rajasthan,North,Mall
263,Issac LLC Store,Loni,Uttarakhand,North,Pop‑up
264,"Reddy, Borah and Rattan Outlet",Tirupati,Goa,West,Pop‑up
265,"Dhar, Aurora and Gulati Outlet",Panvel,Punjab,North,Mall
266,Sethi Group Outlet,Jehanabad,Uttar Pradesh,Central,Pop‑up
267,Sastry and Sons Market,Amaravati,Maharashtra,West,Outlet
268,Suresh Ltd Shop,Gandhidham,Gujarat,West,Outlet
269,"Ben, Buch and Saha Outlet",Kishanganj,Gujarat,West,Flagship
270,Lanka-Shenoy Market,Gangtok,Rajasthan,North,Online
271,Roy-Majumdar Shop,Bahraich,Goa,West,Flagship
272,Shetty-Ganesh Market,Ballia,Chhattisgarh,Central,Mall
273,"Agrawal, Yadav and Singh Outlet",Shimla,Himachal Pradesh,North,Flagship
274,Bakshi Group Store,Amravati,Tamil Nadu,South,Pop‑up
275,"Kohli, Raval and Bajwa Store",Nellore,Madhya Pradesh,West,Outlet
276,Dave-Sachdev Store,Morena,Jharkhand,East,Flagship
277,"Chaudhary, Gara and Gour Store",Arrah,Karnataka,South,Flagship
278,Baria-Jhaveri Outlet,Kharagpur,Goa,West,Pop‑up
279,"Loyal, Lad and Khurana Outlet",Orai,Gujarat,West,Outlet
280,Ray-Koshy Outlet,Kavali,Tamil Nadu,South,Mall
281,Chad Inc Store,Siwan,Jharkhand,East,Outlet
282,Varkey-Magar Shop,Maheshtala,Jammu & Kashmir,North,Pop‑up
283,"Srinivas, Dubey and Sahni Market",Udaipur,Jharkhand,East,Outlet
284,"Dara, Bedi and Dada Outlet",Rampur,Madhya Pradesh,West,Mall
285,Mallick Inc Outlet,Moradabad,Goa,West,Flagship
286,"Dubey, Kaur and Dar Shop",Lucknow,Uttarakhand,North,Online
287,Majumdar-Sarraf Outlet,Shivpuri,Rajasthan,North,Pop‑up
288,Sundaram-Basu Outlet,Jalgaon,Uttar Pradesh,Central,Flagship
289,Deo-Krishna Outlet,Ambattur,Uttar Pradesh,Central,Mall
290,Chaudhari PLC Store,Kozhikode,Madhya Pradesh,West,Pop‑up
291,"Trivedi, Choudhary and Agrawal Store",Barasat,Pondicherry,South,Flagship
292,"Hayre, Rajan and Yohannan Shop",Guntakal,Goa,West,Mall
293,"D’Alia, Hayer and Chatterjee Outlet",Kottayam,Uttar Pradesh,Central,Flagship
294,"Dhingra, Loyal and Rao Market",Kakinada,Rajasthan,North,Online
295,Wali Group Market,Bilaspur,Delhi,North,Outlet
296,"Jain, Sha and Chhabra Outlet",Barasat,Madhya Pradesh,West,Mall
297,Dugar-Balay Store,Ramgarh,Bihar,East,Flagship
298,"Chana, Dutt and Bhalla Market",Morbi,Chhattisgarh,Central,Mall
299,Brahmbhatt and Sons Store,Raipur,Madhya Pradesh,West,Flagship
300,Dugal LLC Store,Dewas,West Bengal,East,Mall
301,Sabharwal-Deshmukh Store,Nagaon,Goa,West,Pop‑up
302,Ravi LLC Shop,Nadiad,Madhya Pradesh,West,Mall
303,Hegde-Saraf Store,Thiruvananthapuram,Himachal Pradesh,North,Online
304,Comar Ltd Store,Bharatpur,Jammu & Kashmir,North,Pop‑up
305,"Soni, Sodhi and Kaur Outlet",Kamarhati,Madhya Pradesh,Central,Outlet
306,Verma PLC Store,Bardhaman,Kerala,South,Outlet
307,"Bhargava, Rastogi and Sarkar Shop",Durg,Maharashtra,West,Pop‑up
308,"Ramesh, Khare and Lala Shop",Begusarai,Gujarat,West,Mall
309,Kalla LLC Store,Kochi,Sikkim,East,Mall
310,Dugal-Wagle Outlet,Jabalpur,Madhya Pradesh,Central,Pop‑up
311,Datta Inc Shop,Gaya,West Bengal,East,Flagship
312,Lanka PLC Market,Miryalaguda,Madhya Pradesh,Central,Outlet
313,"Dixit, Bajwa and Ghosh Market",Bahraich,Maharashtra,West,Pop‑up
314,"Tandon, Kothari and Wable Shop",Navi Mumbai,Sikkim,East,Pop‑up
315,"Jayaraman, Chopra and Mandal Outlet",Jalandhar,Sikkim,East,Outlet
316,"Ray, Banik and Gara Outlet",Thane,Sikkim,East,Flagship
317,Aurora-Devi Shop,Thanjavur,Himachal Pradesh,North,Mall
318,Sagar PLC Shop,Thrissur,Uttar Pradesh,North,Online
319,"Karpe, Vala and Raj Outlet",Pondicherry,Punjab,North,Pop‑up
320,Sethi Group Store,Gorakhpur,Jharkhand,East,Mall
321,"Bawa, Kunda and Sahni Store",Mathura,Delhi,North,Pop‑up
322,"Dhaliwal, Dugar and Bumb Shop",Srinagar,Rajasthan,North,Pop‑up
323,Chana-Butala Market,Navi Mumbai,Chhattisgarh,Central,Pop‑up
324,Hari-Chowdhury Outlet,Dharmavaram,Sikkim,East,Outlet
325,Saxena-Comar Outlet,Jodhpur,Gujarat,West,Pop‑up
326,"Suresh, Khalsa and Bobal Store",Alappuzha,Karnataka,South,Flagship
327,"Hari, Mani and Kanda Market",Akola,West Bengal,East,Online
328,Contractor PLC Outlet,Nellore,Rajasthan,North,Mall
329,Sama-Sastry Market,Dibrugarh,Jammu & Kashmir,North,Pop‑up
330,Baria Inc Market,North Dumdum,Pondicherry,South,Outlet
331,"Sabharwal, Chand and Rama Store",Panvel,Andhra Pradesh,South,Online
332,Bera LLC Market,Bardhaman,West Bengal,East,Pop‑up
333,"Shankar, Badami and Gola Market",Durg,Madhya Pradesh,Central,Pop‑up
334,"Gulati, Doctor and Goyal Market",Phagwara,Punjab,North,Pop‑up
335,Walia PLC Shop,Dindigul,Madhya Pradesh,Central,Outlet
336,"Divan, Barad and Raju Store",Chapra,Uttar Pradesh,Central,Flagship
337,"Dixit, Upadhyay and Chadha Store",Nandyal,West Bengal,East,Pop‑up
338,Dasgupta LLC Shop,Nandyal,Kerala,South,Flagship
339,"Dara, Majumdar and Borah Store",Erode,Chhattisgarh,Central,Pop‑up
340,"Mahal, Gupta and Hora Market",Gulbarga,Goa,West,Pop‑up
341,Bahl Group Shop,Indore,Lakshadweep,South,Outlet
342,"Dave, Gera and Sibal Outlet",Machilipatnam,Madhya Pradesh,Central,Pop‑up
343,Lad-Amble Market,Mango,Pondicherry,South,Flagship
344,Verma-Soni Store,Gandhinagar,Chhattisgarh,Central,Pop‑up
345,Dalal and Sons Shop,Junagadh,Haryana,North,Mall
346,"Chakrabarti, Taneja and Samra Shop",Rourkela,Gujarat,West,Pop‑up
347,"Chacko, Zachariah and Dass Market",Eluru,Karnataka,South,Outlet
348,Balakrishnan Ltd Shop,Nashik,Goa,West,Mall
349,"Dugal, Sane and Sen Market",Siliguri,Kerala,South,Outlet
350,Sachdeva-Kaul Outlet,Bardhaman,Haryana,North,Outlet
351,Wable and Sons Market,Bardhaman,Jammu & Kashmir,North,Online
352,Kalita-Mand Shop,Mangalore,Maharashtra,West,Mall
353,Buch-Devan Outlet,Panihati,Pondicherry,South,Mall
354,"Sagar, Ratta and Johal Shop",Patiala,Sikkim,East,Mall
355,"Kar, Verma and Gade Outlet",Faridabad,Goa,West,Mall
356,Banerjee Ltd Outlet,Patna,Gujarat,West,Online
357,Sankar-Saini Shop,Parbhani,Jammu & Kashmir,North,Outlet
358,"Chandra, Kar and Karan Shop",Agra,Kerala,South,Outlet
359,"Gara, Devan and Goda Market",Mango,Himachal Pradesh,North,Pop‑up
360,Dewan-Gopal Store,Bangalore,Jammu & Kashmir,North,Flagship
361,Mane LLC Market,Delhi,Gujarat,West,Outlet
362,"Deep, Dixit and Warrior Market",Nizamabad,Chhattisgarh,Central,Mall
363,Shenoy Ltd Shop,Loni,Himachal Pradesh,North,Online
364,Maharaj PLC Market,Akola,Kerala,South,Online
365,Toor Group Store,Sagar,Telangana,South,Online
366,"Kanda, Rana and Bhatia Store",Jamnagar,Punjab,North,Online
367,"Vyas, Ghose and Kadakia Store",Srinagar,Lakshadweep,South,Online
368,"Vasa, Sen and Bhargava Store",Ludhiana,Goa,West,Online
369,Kunda-Bansal Market,Alwar,Tamil Nadu,South,Flagship
370,Banik Inc Market,Jabalpur,Chhattisgarh,Central,Outlet
371,Tata-Jha Shop,Karawal Nagar,Bihar,East,Pop‑up
372,Sandal-Kala Market,Aligarh,Jharkhand,East,Flagship
373,Sarkar-Vohra Shop,Akola,Gujarat,West,Pop‑up
374,"Samra, Rama and Buch Market",Tirupati,Uttar Pradesh,Central,Online
375,Agrawal-Issac Store,Chennai,Madhya Pradesh,Central,Flagship
376,"Bava, Lal and Roy Store",Shimla,Pondicherry,South,Pop‑up
